OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,220305,309241,200473,161395,109426
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-08-01T00:00:00,2020-08-31T23:59:59,Month,2020-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,175314,230705,150138,121867,92379
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,187743,246262,166868,135016,99067
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,160156,219435,138187,110548,82942
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,175935,217045,150272,118939,86673
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,160641,257371,174645,133856,105611
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,214227,259348,177452,146010,102494
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,186977,231640,158933,129525,83638
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218735,306547,199219,160201,109616
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,175160,230361,149969,121826,93297
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,187476,245617,166686,135101,98978
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,153589,210448,132469,106138,79139
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,176893,218286,151003,119728,86765
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,161894,260182,175875,134915,105888
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,210847,255460,174464,143688,100296
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,189955,235154,161513,131884,84898
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,222826,312612,202898,163139,111046
